scenario_id,study,generator,n,nu,rho,delta1,delta2,alpha1,alpha2,B,B_boot
baseline_gaussian_n300,baseline_accuracy,gaussian,300,6,0.35,0.7,0.4,1.2,-0.8,1000,0
lr_lambda_size_gaussian,lr_lambda,gaussian,300,6,0.35,0.7,0.4,0,0,1000,0
lr_lambda_power_gaussian,lr_lambda,gaussian,300,6,0.35,0.7,0.4,1.2,-0.8,1000,0
lr_lambda_size_t6,lr_lambda,t,300,6,0.35,0.7,0.4,0,0,1000,0
lr_lambda_power_t6,lr_lambda,t,300,6,0.35,0.7,0.4,1.2,-0.8,1000,0
lr_delta_size_gaussian,lr_delta_boot,gaussian,300,6,0.35,0,0,1.2,-0.8,200,199
lr_delta_power_gaussian,lr_delta_boot,gaussian,300,6,0.35,0.7,0.4,1.2,-0.8,200,199
robust_rmse_gaussian,robust_rmse,gaussian,300,6,0.35,0.7,0.4,1.2,-0.8,200,0
robust_rmse_t6,robust_rmse,t,300,6,0.35,0.7,0.4,1.2,-0.8,200,0
coverage_gaussian_n150,coverage,gaussian,150,6,0.35,0.7,0.4,1.2,-0.8,200,0
coverage_gaussian_n300,coverage,gaussian,300,6,0.35,0.7,0.4,1.2,-0.8,200,0
coverage_t6_n300,coverage,t,300,6,0.35,0.7,0.4,1.2,-0.8,200,0
sample_size_gaussian_n150,sample_size,gaussian,150,6,0.35,0.7,0.4,1.2,-0.8,200,0
sample_size_gaussian_n300,sample_size,gaussian,300,6,0.35,0.7,0.4,1.2,-0.8,200,0
sample_size_gaussian_n1000,sample_size,gaussian,1000,6,0.35,0.7,0.4,1.2,-0.8,200,0
ablation_t6,ablation_t,t,300,6,0.35,0.7,0.4,1.2,-0.8,200,0
