"scenario_id","study","generator","n","parameter","true","mean","sd","bias","rmse","n_used","n_total","ok_rate","conv0_rate","strict_rate"
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"mu1",0.3,0.331980275838229,0.0715075776331327,0.0319802758382291,0.078300436575978,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"mu2",-0.2,-0.226710230909785,0.0626219036374809,-0.0267102309097848,0.068051581521819,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"sigma1",1.1,1.06881776016793,0.0771785114701811,-0.0311822398320663,0.0832039553811273,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"sigma2",0.9,0.897417024177493,0.0389579107186115,-0.00258297582250747,0.039024003547194,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"rho",0.35,0.378765391913382,0.0676623015283339,0.0287653919133816,0.073491881408721,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"delta1",0.7,0.695847241657277,0.0898887965127174,-0.00415275834272327,0.089939763979117,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"delta2",0.4,0.402417890400855,0.0676374953244762,0.00241789040085518,0.0676468930327573,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"alpha1",1.2,1.08010027531308,0.291739086972613,-0.119899724686925,0.315281663204105,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"alpha2",-0.8,-0.713889616302611,0.190909061466112,0.0861103836973895,0.209343788206465,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"lambda1",1.36264171554803,1.27096294591647,0.253372284668585,-0.0916787696315572,0.269329378131493,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"lambda2",-0.94890757810422,-0.8575670730444,0.208676710327425,0.0913405050598203,0.227696094231381,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"alpha_norm",1.4422205101856,1.30975341587964,0.286914107261223,-0.132467094305963,0.315887505790312,1000,1000,1,0.996,0.121
"baseline_gaussian_n300","baseline_accuracy","gaussian",300,"alpha_angle",-33.6900675259798,-33.2300309609085,9.21738420395537,0.460036565071262,9.22425308808064,1000,1000,1,0.996,0.121
"robust_rmse_gaussian","robust_rmse","gaussian",300,"mu1",0.3,0.326977847090268,0.0547636860993571,0.0269778470902678,0.060925119960808,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"mu2",-0.2,-0.233074526971021,0.0700459626929723,-0.0330745269710214,0.0773034865933883,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"sigma1",1.1,1.07412058811419,0.0818274954262803,-0.0258794118858078,0.0856271234612872,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"sigma2",0.9,0.898160278379273,0.0457056767031422,-0.00183972162072715,0.0456283729067722,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"rho",0.35,0.382384448156423,0.075497165693136,0.0323844481564227,0.0819760660190179,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"delta1",0.7,0.696969220694868,0.0870921072210615,-0.00303077930513193,0.086926955472398,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"delta2",0.4,0.405815358564105,0.0730747027262807,0.00581535856410465,0.0731233957969044,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"alpha1",1.2,1.08712597772799,0.228383428937101,-0.112874022272014,0.25424150047517,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"alpha2",-0.8,-0.702443790083787,0.191689989724295,0.0975562099162134,0.214659127439096,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"lambda1",1.36264171554803,1.26954908515614,0.180651005392392,-0.0930926303918871,0.202824677132286,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"lambda2",-0.94890757810422,-0.844668562869038,0.20823314199002,0.104239015235182,0.232400534666169,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"alpha_norm",1.4422205101856,1.30368825478157,0.253867821783829,-0.138532255404027,0.288648250245703,200,200,1,1,0.11
"robust_rmse_gaussian","robust_rmse","gaussian",300,"alpha_angle",-33.6900675259798,-32.8590138190692,7.17380339426545,0.83105370691063,7.20394254055698,200,200,1,1,0.11
"robust_rmse_t6","robust_rmse","t",300,"mu1",0.3,0.342390657775885,0.0772767775580856,0.0423906577758855,0.0879705047995365,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"mu2",-0.2,-0.228458117314374,0.0916073233966711,-0.0284581173143742,0.0957068787103699,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"sigma1",1.1,1.0700179979672,0.0901050219299606,-0.0299820020328033,0.0947483026128105,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"sigma2",0.9,0.903780151754439,0.0494749973188828,0.00378015175443886,0.0494957172914135,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"rho",0.35,0.385048408089575,0.0806511893737794,0.0350484080895749,0.0877523913365418,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"delta1",0.7,0.693185620778354,0.109954282529391,-0.00681437922164567,0.109890537761432,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"delta2",0.4,0.400839817900014,0.0681092383966594,0.000839817900014205,0.0679439423885846,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"alpha1",1.2,1.06016334494073,0.288245898722616,-0.139836655059274,0.319725757076159,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"alpha2",-0.8,-0.694265147322842,0.252572910710708,0.105734852677158,0.273228784939316,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"lambda1",1.36264171554803,1.23937281595296,0.260718858197351,-0.123268899595071,0.287801447202775,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"lambda2",-0.94890757810422,-0.827247792937765,0.271023737259406,0.121659785166455,0.296458597706346,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"alpha_norm",1.4422205101856,1.27637589107904,0.351535578882023,-0.165844619106562,0.387896654523367,200,200,1,0.99,0.12
"robust_rmse_t6","robust_rmse","t",300,"alpha_angle",-33.6900675259798,-32.8370718080577,7.52898424362757,0.85299571792212,7.55842426811844,200,200,1,0.99,0.12
"coverage_gaussian_n150","coverage","gaussian",150,"mu1",0.3,0.348081530492013,0.169489978023217,0.0480815304920134,0.175769883545257,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"mu2",-0.2,-0.233930948236919,0.0803428234188967,-0.0339309482369191,0.0870287520122051,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"sigma1",1.1,1.07033923358645,0.0979139349932992,-0.0296607664135477,0.102073326764546,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"sigma2",0.9,0.910049067480095,0.0608136146955151,0.0100490674800945,0.0614881127608613,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"rho",0.35,0.394922492516235,0.08749422071201,0.044922492516235,0.0981579991573947,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"delta1",0.7,0.701641351473474,0.13271324273284,0.00164135147347371,0.132391218769757,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"delta2",0.4,0.413450864279844,0.0920950609092629,0.0134508642798443,0.0928440546967668,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"alpha1",1.2,0.941581394538702,1.60947556615524,-0.258418605461298,1.62611183985267,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"alpha2",-0.8,-0.683985799441729,0.372887040483273,0.116014200558271,0.389626508295761,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"lambda1",1.36264171554803,1.15873295740992,1.39226277701404,-0.203908758138106,1.4036674975588,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"lambda2",-0.94890757810422,-0.814983251430942,0.429557457203387,0.133924326673278,0.448923976045761,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"alpha_norm",1.4422205101856,1.43096838196348,1.42573287069816,-0.0112521282221227,1.4222085845212,200,200,1,1,0.505
"coverage_gaussian_n150","coverage","gaussian",150,"alpha_angle",-33.6900675259798,-31.1749798570191,22.3086391678723,2.51508766896074,22.3944785739091,200,200,1,1,0.505
"coverage_gaussian_n300","coverage","gaussian",300,"mu1",0.3,0.332676526561678,0.0642584018758278,0.0326765265616785,0.0719461735515746,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"mu2",-0.2,-0.229748168949214,0.0677160050898991,-0.0297481689492142,0.0738070702198614,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"sigma1",1.1,1.06773851158343,0.0825180608164278,-0.0322614884165725,0.0884080756715799,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"sigma2",0.9,0.897468662427878,0.0435792259456332,-0.00253133757212151,0.0435437809480812,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"rho",0.35,0.38172081348631,0.0677299793209247,0.0317208134863097,0.074636608688713,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"delta1",0.7,0.69045459559861,0.0900297879567695,-0.00954540440138963,0.0903103020210277,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"delta2",0.4,0.39983337475809,0.070709163046591,-0.000166625241910088,0.0705323654362087,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"alpha1",1.2,1.08190915021866,0.24897326860981,-0.11809084978134,0.274996725147628,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"alpha2",-0.8,-0.708277759104738,0.205087547189801,0.091722240895262,0.224195376796926,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"lambda1",1.36264171554803,1.27169203382147,0.208395916648682,-0.0909496817265549,0.226899886275041,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"lambda2",-0.94890757810422,-0.849777218062961,0.22265345560329,0.099130360041259,0.243214959999453,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"alpha_norm",1.4422205101856,1.30186317116489,0.28508206431284,-0.140357339020713,0.317120808356817,200,200,1,0.995,0.1
"coverage_gaussian_n300","coverage","gaussian",300,"alpha_angle",-33.6900675259798,-33.0005919669453,7.16797808362957,0.689475559034545,7.18320170988278,200,200,1,0.995,0.1
"coverage_t6_n300","coverage","t",300,"mu1",0.3,0.340348014697583,0.0666387753080967,0.0403480146975831,0.0777591475823042,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"mu2",-0.2,-0.238498828524876,0.0905552114133302,-0.0384988285248756,0.0981906557689179,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"sigma1",1.1,1.06705874367801,0.0855869746263436,-0.0329412563219916,0.0915075458234625,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"sigma2",0.9,0.898556481199889,0.0491306805824397,-0.00144351880011094,0.0490289547323571,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"rho",0.35,0.393157314173786,0.0736466706220508,0.0431573141737863,0.0852013303883171,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"delta1",0.7,0.696059973233003,0.0972463362416787,-0.00394002676699653,0.0970829000071183,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"delta2",0.4,0.400182969541913,0.0680354560754348,0.000182969541913294,0.0678654009406024,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"alpha1",1.2,1.05930226576045,0.282969258935615,-0.140697734239548,0.31538404511833,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"alpha2",-0.8,-0.676673046736313,0.235546172766037,0.123326953263687,0.265356603287929,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"lambda1",1.36264171554803,1.24463640339311,0.242903809059168,-0.118005312154923,0.26950417965211,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"lambda2",-0.94890757810422,-0.814149199480063,0.252979721828001,0.134758378624157,0.286074407396579,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"alpha_norm",1.4422205101856,1.26779718674531,0.328807543573943,-0.174423323440291,0.37147991125703,200,200,1,1,0.12
"coverage_t6_n300","coverage","t",300,"alpha_angle",-33.6900675259798,-32.4249587002124,8.15991132763649,1.26510882576745,8.23721630476889,200,200,1,1,0.12
"sample_size_gaussian_n150","sample_size","gaussian",150,"mu1",0.3,0.352225794996886,0.13147629667167,0.0522257949968859,0.141163451950642,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"mu2",-0.2,-0.24238282100256,0.11314352732045,-0.0423828210025604,0.120556020180562,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"sigma1",1.1,1.06348684908565,0.104578046920453,-0.0365131509143464,0.110521922024103,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"sigma2",0.9,0.898943626537441,0.0615103508203668,-0.00105637346255879,0.0613654753639762,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"rho",0.35,0.40002422444489,0.0902152430809683,0.0500242244448898,0.102958822667366,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"delta1",0.7,0.70419701591188,0.123382776339229,0.00419701591187956,0.123145474509845,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"delta2",0.4,0.406440592103694,0.0963228143557226,0.00644059210369415,0.0962973279443731,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"alpha1",1.2,0.994454966705639,0.811446824697167,-0.205545033294361,0.835106268852377,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"alpha2",-0.8,-0.651022535426466,0.308428526447135,0.148977464573534,0.341828612169136,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"lambda1",1.36264171554803,1.19064759492186,0.617234490505328,-0.171994120626169,0.639261684850574,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"lambda2",-0.94890757810422,-0.78787974687483,0.352006125560182,0.16102783122939,0.386288406893311,200,200,1,0.995,0.54
"sample_size_gaussian_n150","sample_size","gaussian",150,"alpha_norm",1.4422205101856,1.30306559942628,0.6833241987113,-0.139154910759317,0.695673335646948,200,200,1,0.995,0.54
